Implementation;Method;listSize;Score;Score Error;Allocation Rate
SCALA_TREE_MAP;getDistinct;50;43,653;1,046;16
SCALA_TREE_MAP;getDistinct;100;52,764;0,855;16
SCALA_TREE_MAP;getDistinct;1000;104,528;6,395;13,217
SCALA_TREE_MAP;getDistinct;10000;133,341;1,093;0
SCALA_TREE_MAP;getDistinct;100000;186,494;3,019;0
SCALA_TREE_MAP;getDistinct;1000000;183,451;0,588;0
JAVASLANG_HASH_MAP;getDistinct;1;16,068;0,123;16
JAVASLANG_HASH_MAP;getDistinct;4;21,68;0,065;16
JAVASLANG_HASH_MAP;getDistinct;10;21,154;0,086;16
JAVASLANG_HASH_MAP;getDistinct;15;21,516;0,105;16
JAVASLANG_HASH_MAP;getDistinct;20;16,8;0,717;16
JAVASLANG_HASH_MAP;getDistinct;25;16,365;0,287;16
JAVASLANG_HASH_MAP;getDistinct;50;22,005;0,048;16
JAVASLANG_HASH_MAP;getDistinct;100;23,569;0,247;16
JAVASLANG_HASH_MAP;getDistinct;1000;19,404;0,142;16
JAVASLANG_HASH_MAP;getDistinct;10000;49,031;1,378;16
JAVASLANG_HASH_MAP;getDistinct;100000;80,745;4,038;16
JAVASLANG_HASH_MAP;getDistinct;1000000;134,627;39,367;16
JAVASLANG_TREE_MAP;getDistinct;1;22,255;0,211;16
JAVASLANG_TREE_MAP;getDistinct;4;26,25;0,105;56
JAVASLANG_TREE_MAP;getDistinct;10;33,692;0,166;56
JAVASLANG_TREE_MAP;getDistinct;15;33,553;0,075;56
JAVASLANG_TREE_MAP;getDistinct;20;36,158;0,252;56
JAVASLANG_TREE_MAP;getDistinct;25;38,38;0,074;56
JAVASLANG_TREE_MAP;getDistinct;50;42,416;0,213;56
JAVASLANG_TREE_MAP;getDistinct;100;47,663;0,248;56
JAVASLANG_TREE_MAP;getDistinct;1000;87,356;0,835;56
JAVASLANG_TREE_MAP;getDistinct;10000;126,487;2,409;56
JAVASLANG_TREE_MAP;getDistinct;100000;154,439;11,269;56
JAVASLANG_TREE_MAP;getDistinct;1000000;189,509;0,946;56
PCOLLECTIONS;getDistinct;1;19,271;0,135;0
PCOLLECTIONS;getDistinct;4;17,939;0,046;0
PCOLLECTIONS;getDistinct;10;20,078;0,25;0
PCOLLECTIONS;getDistinct;15;21,764;0,607;0
PCOLLECTIONS;getDistinct;20;21,739;0,036;0
PCOLLECTIONS;getDistinct;25;23,117;0,29;0
